strategy_name,direction,trend_strength,bias,duration_minutes,ema_slope,rsi,atr,timestamp,result
self_adjusting_v3,put,0.00034011202200653114,bullish,1,0.0003131536703573648,76.25410357103272,0.00027142857142857323,2025-10-30 16:04:38,loss
self_adjusting_v3,put,0.0003578616207365118,bullish,1,0.00033294384995134844,68.6503405580591,0.0002700000000000242,2025-10-30 16:07:02,loss
self_adjusting_v3,put,0.00035661513109468655,bullish,1,0.00038397012255072404,73.83963316627114,0.00023428571428575826,2025-10-30 16:09:08,loss
self_adjusting_v3,put,0.00041376264507167156,bullish,1,0.0004282080443740042,74.16087586952224,0.0002442857142857603,2025-10-30 16:11:15,win
self_adjusting_v3,put,0.0003581327899262202,bullish,1,0.0003974712647237221,74.98532229369968,0.00022785714285714472,2025-10-30 16:20:27,win
self_adjusting_v3,put,0.00021246233753505298,bullish,1,0.00018264173163267872,70.7865647688012,0.00027999999999999455,2025-10-30 18:51:40,loss
self_adjusting_v3,put,0.00023902057242627028,neutral,1,0.00022822436324094285,70.73086788660886,0.0002542857142856831,2025-10-30 18:55:03,win
self_adjusting_v3,call,0.00027264446030518747,bearish,1,-0.00026734262171891344,30.797988436610026,0.0002578571428571668,2025-10-30 20:17:19,loss
self_adjusting_v3,call,0.0003790175523887192,bearish,1,-0.0003735817839360515,23.38004384749138,0.0002550000000000052,2025-10-30 20:21:27,loss
self_adjusting_v3,call,0.0004605010157037205,bearish,1,-0.0004876039991120312,16.482749576135674,0.0002371428571428564,2025-10-30 20:25:35,loss
self_adjusting_v3,call,0.0005961139685311833,bearish,1,-0.0006330980989348745,11.51665391118128,0.00023785714285713095,2025-10-30 20:32:05,win
self_adjusting_v3,call,0.0005470054383082801,bearish,1,-0.0006087267396832133,17.763561602810412,0.0002292857142856938,2025-10-30 20:40:17,loss
self_adjusting_v3,call,0.0005398349236929903,bearish,1,-0.00061099031032007,22.763562071224115,0.00022499999999996728,2025-10-30 20:44:26,win
self_adjusting_v3,call,0.0005269406299123065,bearish,1,-0.0005928082109859613,27.680848775362804,0.0002257142857142577,2025-10-30 20:46:32,win
self_adjusting_v3,put,0.00030183604150751904,bullish,1,0.00035523095018809585,69.58048689315063,0.00019357142857144374,2025-10-31 15:15:18,win
self_adjusting_v3,put,0.0002994792528403316,bullish,1,0.00031186479721820564,73.01928126665527,0.00024214285714284158,2025-10-31 15:59:01,win
self_adjusting_v3,call,0.00010137935000725775,bearish,1,-0.00010731509606487888,30.603154689357964,0.000236428571428566,2025-10-31 17:01:07,loss
self_adjusting_v3,call,0.00024990134036882115,neutral,1,-0.0002576295042179781,30.49798097767534,0.0002471428571428426,2025-10-31 17:26:33,win
self_adjusting_v3,call,0.0004336417748453433,bearish,1,-0.000421452284426633,25.54172785097444,0.0002607142857142967,2025-10-31 17:36:07,win
self_adjusting_v3,put,0.00025475022270164265,neutral,1,0.00024640398710886645,72.69502149991344,0.00025857142857142545,2025-10-31 19:07:24,loss
self_adjusting_v3,put,0.00032260606754162813,bullish,1,0.00031077123846620517,73.70385797856942,0.00025857142857144133,2025-10-31 19:09:31,loss
self_adjusting_v3,put,0.0003679053539669783,neutral,1,0.0003541702221829496,73.61765732562247,0.0002571428571428764,2025-10-31 19:12:02,loss
self_adjusting_v3,put,0.00033978380410514317,bullish,1,0.0003633887240654036,75.66963321103393,0.0002292857142857255,2025-10-31 19:14:08,loss
self_adjusting_v3,put,0.00034125114895782875,bullish,1,0.0003645415413671621,76.83602117495079,0.00022857142857145098,2025-10-31 19:16:15,loss
self_adjusting_v3,put,0.000342580320174015,bullish,1,0.00037710443554563066,76.70898576952494,0.00022071428571430424,2025-10-31 19:18:21,loss
self_adjusting_v3,put,0.0004157687120645309,bullish,1,0.0004488273967984514,68.72222218056551,0.00023428571428572655,2025-10-31 21:38:37,win
self_adjusting_v3,put,0.00028450017919999987,bullish,1,0.0002547055096825163,68.85600225280939,0.0002871428571428826,2025-11-01 14:54:27,win
self_adjusting_v3,call,0.00013321769996009665,bearish,1,-0.00013497913451095586,30.544934478443437,0.0002571428571428923,2025-11-01 15:25:58,win
self_adjusting_v3,put,0.00023547577737729157,neutral,1,0.00025122144782138825,71.51968724808391,0.00023714285714287225,2025-11-01 19:28:00,draw
self_adjusting_v3,call,0.00033254286601182666,bearish,1,-0.00035231238827737664,27.61143223903369,0.00023357142857142029,2025-11-01 20:28:55,win
self_adjusting_v3,call,0.00031352432853514514,bearish,1,-0.00032047719287654075,28.95229735680276,0.00024285714285717956,2025-11-01 20:35:04,draw
self_adjusting_v3,call,0.00031077836998934737,bearish,1,-0.00032169261165882547,29.17973128430407,0.0002400000000000497,2025-11-01 20:37:11,win
self_adjusting_v3,put,0.0002137660446262633,bullish,1,0.0001817232906293629,69.38623245881107,0.0002757142857142839,2025-11-02 18:06:22,loss
self_adjusting_v3,put,0.00028311184398112035,bullish,1,0.00023879617472007345,69.39354193322649,0.0002800000000000104,2025-11-02 18:08:29,loss
self_adjusting_v3,put,0.00032155025185204045,bullish,1,0.0002868914232395312,69.01741175723983,0.0002678571428571371,2025-11-02 18:12:37,win
self_adjusting_v3,put,0.00027326461971812925,bullish,1,0.0002859885047693027,73.3359977711635,0.00022857142857140339,2025-11-02 18:18:05,win
self_adjusting_v3,put,0.0003612439657678943,bullish,1,0.0003671283816435107,73.15962546942015,0.00022714285714280674,2025-11-02 19:18:58,loss
self_adjusting_v3,call,1.7317183302387024e-06,neutral,1,-1.6615381734177753e-06,30.10316495908326,0.0002442857142857286,2025-11-02 19:34:16,win
self_adjusting_v3,call,0.00021363237546731954,neutral,1,-0.00020791880665446027,23.839501461885888,0.00024357142857145408,2025-11-02 19:39:25,loss
self_adjusting_v3,call,0.00026688403391250903,bearish,1,-0.0002765585813094265,21.103893467762518,0.00022857142857145098,2025-11-02 19:41:31,win
self_adjusting_v3,call,0.00021020068685848089,bearish,1,-0.0001827294469500925,30.568453773703837,0.00027928571428567243,2025-11-02 19:57:13,win
self_adjusting_v3,put,0.0002906821350115685,bullish,1,0.0003371530303027565,68.49750275421573,0.0002171428571428364,2025-11-02 20:48:09,win
self_adjusting_v3,put,0.0003514170094736946,bullish,1,0.00034759423093433096,71.14403104455229,0.00025214285714284364,2025-11-02 20:52:17,win
self_adjusting_v3,put,0.00030333468121306615,bullish,1,0.000307916020423957,73.28027305281653,0.00024214285714284158,2025-11-02 23:55:57,win
self_adjusting_v3,call,0.0003360160794037491,bearish,1,-0.00030837112148012955,26.58305070786848,0.000251428571428585,2025-11-03 15:31:33,draw
